"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: type"
"com.javaetmoi.benchmark.MapperBenchmark.mapper","thrpt",1,25,39250720.363921,1421257.596223,"ops/s",Manual
"com.javaetmoi.benchmark.MapperBenchmark.mapper","thrpt",1,25,38400653.278259,2141680.331047,"ops/s",MapStruct
"com.javaetmoi.benchmark.MapperBenchmark.mapper","thrpt",1,25,39065352.472648,344979.788673,"ops/s",Selma
"com.javaetmoi.benchmark.MapperBenchmark.mapper","thrpt",1,25,31310672.840727,878422.384139,"ops/s",JMapper
"com.javaetmoi.benchmark.MapperBenchmark.mapper","thrpt",1,25,20730232.667327,350141.950416,"ops/s",datus
"com.javaetmoi.benchmark.MapperBenchmark.mapper","thrpt",1,25,4487290.219734,56235.117355,"ops/s",Orika
"com.javaetmoi.benchmark.MapperBenchmark.mapper","thrpt",1,25,221638.172030,5733.408991,"ops/s",ModelMapper
"com.javaetmoi.benchmark.MapperBenchmark.mapper","thrpt",1,25,138389.815616,6466.947565,"ops/s",BULL
"com.javaetmoi.benchmark.MapperBenchmark.mapper","thrpt",1,25,113676.640407,3343.780129,"ops/s",Dozer
"com.javaetmoi.benchmark.MapperBenchmark.mapper","thrpt",1,25,603284.544537,23168.547081,"ops/s",ReMap
